no,caseid,season,vq1,vq1a,vq1b,vq1c,vq1d,vq1e,vq2,vq17,vq17a_1,vq17a_2,vq17a_3,vq17a_4,vq17a_5,vq17a_6,vq17a_7,vq17a_8,vq17a_9,vq17a_10,vq17a_11,vq17a_12,vq17a_13,vq17a1_1,vq17a1_2,vq17a1_3,vq17a2_1,vq17a2_2,vq17a2_3,vq17a2_4,vq17a3_1,vq17a3_2,vq17a3_3,vq17a3_4,vq17a4_1,vq17a4_2,vq17a4_3,vq17a4_4,vq17a5_1,vq17a5_2,vq17a5_3,vq17a6_1,vq17a6_2,vq17a6_3,vq17a6_4,vq17a6_5,vq17a7_1,vq17a7_2,vq17a7_3,vq17a8_1,vq17a8_2,vq17a8_3,vq17a8_4,vq17a8_5,vq17a9_1,vq17a9_2,vq17a9_3,vq17a10_1,vq17a10_2,vq17a11_1,vq17a11_2,vq17a11_3,vq17a11_4,vq17a12_1,vq17a12_2,vq17a13_1,vq17a13_2,vq18,vq19,vq20,vb1,vb2,vb3,vb4,vb5,vb6,vb7,q32,q33,weight
12894,76208682,3,1,0,1,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,2,3,14,1,2,10,1,1,0,1.630145758
13024,76210921,3,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,7,1,3,12,2,1,0,1.167722812
13070,76211747,3,0,0,0,0,0,0,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,3,14,1,2,9,2,1,0,1.88280103
13144,76212871,3,2,1,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,2,14,1,2,9,1,1,1,4.625157582
13161,76213249,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,3,14,1,2,12,1,1,0,1.595463899
13213,76214231,3,1,0,0,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,2,14,1,2,10,1,1,0,1.630145758
13469,76219591,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,2,14,1,2,12,1,1,0,1.595463899
13534,76220975,3,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,1,2,14,1,2,9,2,1,0,3.120833889
13615,76222715,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,1,2,14,1,2,11,2,1,0,3.460865469
15099,78202092,3,2,2,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,4,3,9,1,4,4,1,1,0,1.536892766
15351,78204493,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,1,2,14,1,2,11,2,1,0,3.460865469
15393,78204826,3,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,3,14,1,2,4,1,1,0,1.59121614
15467,78205516,3,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,5,3,7,1,4,12,2,1,1,1.167722812
15500,78205887,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,1,2,14,1,2,4,1,1,0,4.793683488
15554,78206313,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,7,1,2,9,1,0,0,1.443349502
15703,78207779,3,1,0,0,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,3,14,1,2,4,2,1,0,1.951404261
15838,78209086,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,2,3,14,1,2,12,1,0,0,1.595463899
15862,78209284,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,1,2,14,1,2,10,1,1,0,4.910962506
15885,78209446,3,2,0,0,2,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,2,3,14,1,2,10,1,1,0,1.630145758
16016,78210765,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,3,6,1,2,4,1,0,0,1.59121614
16033,78210930,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,5,2,11,1,2,10,2,1,0,1.193106525
16063,78211301,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,2,3,14,1,2,11,1,1,0,1.702552128
16152,78212342,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,3,14,1,2,4,2,1,0,1.951404261
16165,78212437,3,5,5,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,3,14,1,2,9,2,1,1,1.88280103
16243,78213264,3,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,3,14,1,2,4,1,1,0,1.59121614
16304,78213844,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,1,2,14,1,2,10,1,0,0,4.910962506
16326,78214080,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,3,14,1,2,4,1,1,0,1.59121614
16501,78216084,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,2,3,14,1,2,4,1,0,0,1.59121614
16607,78217574,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,9,2,11,1,4,9,2,0,0,0.509871884
11414,76105830,3,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,4,1,5,4,1,1,0,1.495940528
11448,76106578,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,2,1,6,4,1,0,0,1.495940528
11633,76110089,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,6,3,10,1,5,4,2,1,0,0.833807567
11668,76110832,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,8,1,5,4,1,1,0,1.495940528
11822,76113944,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,6,3,6,1,6,4,1,0,0,1.281157636
11866,76115149,3,1,0,0,0,1,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,4,3,9,1,6,4,2,1,1,1.365561048
12402,76130612,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,4,3,9,1,5,4,1,1,0,1.536892766
12431,76131509,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,0, ,4,2,10,1,5,4,2,1,0,1.365561048
12619,76203391,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,10,1,5,10,2,1,1,1.193106525
12810,76206996,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,6,1,5,12,1,0,0,1.499933949
12839,76207554,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,2,9,1,5,10,2,0,0,1.193106525
12925,76209313,3,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,0, ,5,2,8,1,6,12,1,1,0,1.499933949
13065,76211616,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,4,3,10,1,5,10,1,0,0,1.574493345
13327,76216779,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,6,2,6,1,5,11,1,0,0,1.370799105
13378,76217984,3,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,6,3,9,1,5,10,1,0,0,1.312501573
13506,76220331,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,5,3,5,1,5,12,1,1,0,1.499933949
13612,76222675,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,2,7,1,6,10,1,1,0,1.630145758
14894,78200234,3,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,2,3,6,1,5,4,2,1,0,1.951404261
14961,78200743,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,6,1,6,9,1,1,0,1.443349502
14964,78200763,3,2,0,2,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,4,3,10,1,6,4,1,1,0,1.536892766
15085,78201925,3,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,5,3,6,1,5,10,2,1,0,1.193106525
15151,78202545,3,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,8,3,6,1,5,9,1,1,0,0.906575353
15158,78202618,3,5,3,2,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,3,3,1,1,6,4,1,1,0,3.023917333
15265,78203743,3,2,0,0,0,0,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,2,3,4,1,7,12,1,1,1,1.595463899
15306,78204077,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,0, ,4,3,5,1,5,4,2,0,0,1.365561048
15504,78205916,3,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,0, ,6,2,4,1,5,4,1,1,0,1.281157636
15711,78207834,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,5,3,10,1,5,12,1,1,1,1.499933949
15742,78208232,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,6,1,6,4,1,0,0,1.495940528
15756,78208353,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,5,3,9,1,5,10,1,0,0,1.532539198
15797,78208724,3,10,2,4,0,4,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,3,3,1,1,5,4,1,1,0,3.023917333
15808,78208836,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,3,11,1,5,4,2,0,0,0.532485467
15829,78209021,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,3,3,6,1,5,4,1,0,0,3.023917333
15904,78209689,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,6,3,5,1,5,10,2,1,1,0.854206939
15952,78210227,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,5,3,9,1,6,4,1,0,0,1.495940528
15959,78210293,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,4,3,6,1,5,12,2,1,0,1.36920642
15963,78210329,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,7,3,6,1,7,10,1,0,0,0.962595866
15967,78210343,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,4,3,9,1,5,4,1,1,0,1.536892766
16029,78210886,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,4,3,5,1,5,10,2,0,0,1.398969941
16034,78210942,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,3,3,6,1,5,10,1,1,0,3.097898449
16167,78212445,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,3,3,8,1,5,12,1,1,0,3.031989694
16346,78214285,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,8,1,5,4,1,0,0,1.495940528
16404,78215002,3,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,5,3,9,1,5,4,2,1,0,1.164613869
16436,78215386,3,3,2,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,2,3,8,1,6,4,1,1,1,1.59121614
16459,78215716,3,12,12,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,5,3,5,1,6,4,1,1,0,1.495940528
16499,78216070,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,2,5,3,6,1,6,12,2,0,1,1.167722812
16502,78216095,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,4,3,4,1,6,9,1,0,0,1.48286203
11099,76100178,3,4,2,1,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,10,3,13,2,4,2,2,1,0,0.588840301
11102,76100225,3,3,2,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,4,3,4,1,5,1,2,1,0,1.43735822
11104,76100246,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,2,3,14,1,2,1,1,1,1,1.67487759
11109,76100285,3,3,2,0,0,0,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,9,3,13,2,5,2,1,1,0,0.760506303
11119,76100564,3,1,0,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,3,13,1,6,3,2,1,0,0.569255364
11126,76100899,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,2,3,14,1,2,3,2,0,0,2.102086075
11137,76101021,3,0,0,0,0,0,0,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,3,13,1,5,2,1,1,0,0.760506303
11145,76101115,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,3,13,2,5,7,1,1,0,0.7436304
11165,76101555,3,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,3,13,4,5,2,2,1,0,0.81374293
11168,76101581,3,0,0,0,0,0,0,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,3,13,2,4,2,1,1,0,0.866258951
11172,76101673,3,5,3,1,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,2,3,14,1,2,2,1,1,0,1.759620211
11173,76101690,3,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,10,3,13,2,5,2,1,1,0,0.656785969
11179,76101835,3,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,8,3,4,2,6,1,1,1,0,0.98900987
11183,76101875,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,3,13,2,5,1,1,1,0,0.625155414
11186,76102004,3,12,12,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,2,13,2,6,2,1,1,0,0.656785969
11192,76102047,3,10,8,0,1,0,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,2,2,3,14,1,1,1,2,1,1,2.05400334
11193,76102067,3,12,12,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,2,13,4,4,1,1,1,0,0.824540259
11212,76102415,3,4,3,0,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,7,3,4,2,7,1,2,1,0,0.677258247
11215,76102449,3,2,1,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,3,13,2,1,1,1,1,0,0.723880618
11216,76102455,3,3,2,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,3,13,2,2,1,2,1,0,0.774553389
11223,76102565,3,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,7,3,4,2,6,3,1,1,0,1.012161877
11227,76102639,3,4,2,1,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,9,3,13,3,5,18,1,1,0,0.739194236
11235,76102829,3,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,6,3,4,2,7,1,1,1,0,1.348517125
11237,76102844,3,12,12,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,9,3,13,2,4,2,1,1,0,0.760506303
11242,76102925,3,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,3,5,2,6,1,1,1,0,0.625155414
11244,76102980,3,2,2,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,2,3,14,1,2,2,2,1,0,2.157928323
11247,76103046,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,2,3,14,1,2,1,1,1,0,1.67487759
11248,76103056,3,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,2,3,14,1,1,1,1,1,1,1.67487759
11256,76103143,3,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,10,3,13,2,6,3,2,1,1,0.573602461
11269,76103336,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,2,13,2,6,3,1,1,0,0.843842151
11271,76103351,3,1,0,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,8,3,13,2,6,3,1,1,0,1.012161877
11278,76103448,3,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,8,3,4,2,6,1,1,1,0,0.98900987
11294,76103754,3,1,0,0,0,0,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,3,13,4,2,1,2,1,1,0.774553389
11299,76103811,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,2,13,4,3,3,2,1,0,0.792685124
11301,76103828,3,6,6,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,3,13,2,5,2,1,1,1,0.656785969
11302,76103856,3,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,9,2,13,1,5,1,1,1,0,0.723880618
11312,76104022,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,7,3,5,2,6,3,2,1,0,0.693112374
11321,76104260,3,2,1,0,0,1,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,3,13,2,2,3,1,1,0,0.843842151
11326,76104307,3,8,8,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,9,3,13,2,4,2,1,1,0,0.760506303
11357,76104881,3,4,4,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,2,3,14,1,2,1,2,1,0,2.05400334
11361,76104896,3,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65,2,2,10,3,4,2,7,3,1,1,1,0.63978985
11362,76104901,3,1,0,0,0,1,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,3,13,2,5,3,2,1,0,0.792685124
11364,76104921,3,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,9,3,13,2,2,3,2,1,0,0.569255364
11378,76105144,3,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,7,3,5,2,6,1,2,1,1,0.677258247
